symbol,datetime,open,high,low,close,volume
DEMO,2024-01-01,100.00,101.20,99.40,100.80,100000
DEMO,2024-01-02,100.80,102.10,100.10,101.70,105000
DEMO,2024-01-03,101.70,103.40,101.20,102.90,99000
DEMO,2024-01-04,102.90,104.00,101.80,102.10,110000
DEMO,2024-01-05,102.10,103.00,100.90,101.20,115000
DEMO,2024-01-08,101.20,102.40,100.60,102.20,121000
DEMO,2024-01-09,102.20,104.80,101.90,104.10,130000
DEMO,2024-01-10,104.10,105.00,103.20,104.60,119000
DEMO,2024-01-11,104.60,105.10,102.00,102.50,140000
DEMO,2024-01-12,102.50,103.00,100.80,101.10,135000

